t_s,docs,tokens,batch_s,tok_per_s,temp_c,battery_pct,plugged,current_ma
6.5,32,9072,6.48,1400.0,29.8,88,UNPLUGGED,1765.625
14.5,32,8731,7.556,1155.5,29.8,88,UNPLUGGED,1472.656
24.5,32,9069,9.218,983.8,29.8,88,UNPLUGGED,1034.375
33.9,32,9642,8.859,1088.4,29.9,88,UNPLUGGED,703.125
42.5,32,8718,7.984,1092.0,29.9,88,UNPLUGGED,634.375
50.9,32,8919,7.837,1138.0,29.9,88,UNPLUGGED,1774.218
60.0,32,8518,8.623,987.8,29.9,88,UNPLUGGED,537.5
69.0,32,8912,8.327,1070.3,29.9,88,UNPLUGGED,820.312
77.8,32,9018,8.402,1073.4,29.9,88,UNPLUGGED,537.5
86.8,32,8842,8.31,1064.1,31.1,87,UNPLUGGED,1925.0
94.3,32,8586,7.086,1211.7,31.1,87,UNPLUGGED,430.468
105.6,32,8972,10.566,849.1,31.1,87,UNPLUGGED,1814.062
113.3,32,8918,7.208,1237.3,31.1,87,UNPLUGGED,939.843
123.5,32,8943,9.81,911.6,31.1,87,UNPLUGGED,619.531
130.8,32,8570,6.613,1296.0,31.1,87,UNPLUGGED,1064.843
140.8,32,8855,9.606,921.8,31.1,87,UNPLUGGED,374.218
149.4,32,8780,7.832,1121.1,31.1,87,UNPLUGGED,1025.781
158.7,32,8964,8.852,1012.7,31.1,87,UNPLUGGED,331.25
168.5,32,9209,9.093,1012.8,31.1,87,UNPLUGGED,2255.468
177.0,32,8811,8.027,1097.7,31.8,86,UNPLUGGED,387.5
186.9,32,8639,9.212,937.8,31.8,86,UNPLUGGED,1132.812
194.1,32,8634,6.704,1287.9,31.8,86,UNPLUGGED,410.156
205.2,32,8625,10.454,825.1,31.8,86,UNPLUGGED,1214.843
212.6,32,8991,7.027,1279.4,31.8,86,UNPLUGGED,2332.031
223.8,32,8997,10.735,838.1,31.8,86,UNPLUGGED,1036.718
230.8,32,8342,6.371,1309.3,31.8,86,UNPLUGGED,1377.343
241.0,32,9042,9.72,930.2,31.8,86,UNPLUGGED,396.875
249.6,32,8771,7.899,1110.3,31.8,86,UNPLUGGED,1222.656
258.8,32,8945,8.742,1023.2,31.8,86,UNPLUGGED,420.312
268.2,32,8706,8.672,1003.9,32.3,85,UNPLUGGED,1221.875
276.8,32,9083,8.148,1114.8,32.3,85,UNPLUGGED,565.625
287.1,32,8543,9.593,890.6,32.3,85,UNPLUGGED,1126.562
294.3,32,8406,6.702,1254.3,32.3,85,UNPLUGGED,570.312
304.1,32,8324,9.187,906.0,32.3,85,UNPLUGGED,450.781
312.1,32,8974,7.476,1200.4,32.3,85,UNPLUGGED,1042.187
323.1,32,9133,10.538,866.7,32.3,85,UNPLUGGED,338.281
331.0,32,8485,7.105,1194.3,32.3,85,UNPLUGGED,1033.593
341.5,32,9177,10.073,911.1,32.3,85,UNPLUGGED,768.75
350.4,32,8843,8.195,1079.1,32.3,85,UNPLUGGED,896.093
361.4,32,9373,10.457,896.3,32.5,84,UNPLUGGED,420.312
370.3,32,9163,8.136,1126.3,32.5,84,UNPLUGGED,2296.875
379.4,32,8845,8.703,1016.4,32.5,84,UNPLUGGED,356.25
388.7,32,8622,8.513,1012.8,32.5,84,UNPLUGGED,1085.937
396.7,32,8705,7.535,1155.3,32.5,84,UNPLUGGED,405.468
407.1,32,8808,9.718,906.4,32.5,84,UNPLUGGED,1235.937
414.4,32,8666,6.816,1271.4,32.5,84,UNPLUGGED,2215.625
425.6,32,8806,10.806,814.9,32.5,84,UNPLUGGED,2532.812
433.5,32,9401,7.39,1272.1,32.5,84,UNPLUGGED,2369.531
444.6,32,8912,10.674,834.9,32.5,84,UNPLUGGED,1107.812
452.6,32,8708,7.415,1174.4,32.5,84,UNPLUGGED,1214.062
461.7,32,8627,8.692,992.5,32.5,84,UNPLUGGED,478.906
470.2,32,8818,7.881,1118.9,32.5,84,UNPLUGGED,1863.281
479.4,32,8631,8.691,993.1,32.6,83,UNPLUGGED,353.906
489.3,32,9056,9.169,987.6,32.6,83,UNPLUGGED,967.968
498.1,32,8973,8.352,1074.4,32.6,83,UNPLUGGED,420.312
508.2,32,8797,9.376,938.2,32.6,83,UNPLUGGED,1156.25
515.6,32,8645,6.944,1245.0,32.6,83,UNPLUGGED,458.593
526.7,32,8850,10.367,853.7,32.6,83,UNPLUGGED,2332.031
534.0,32,8749,6.811,1284.4,32.6,83,UNPLUGGED,1629.687
545.8,32,9417,11.33,831.1,32.6,83,UNPLUGGED,1130.468
553.2,32,8944,7.014,1275.1,32.6,83,UNPLUGGED,1110.156
563.6,32,8646,9.971,867.1,32.6,83,UNPLUGGED,349.218
573.8,32,9008,9.421,956.2,33.0,82,UNPLUGGED,466.406
583.5,32,8766,9.057,967.9,33.0,82,UNPLUGGED,529.687
592.4,32,8856,8.327,1063.5,33.0,82,UNPLUGGED,784.375
602.0,32,8687,9.043,960.6,33.0,82,UNPLUGGED,442.968
