t_s,docs,tokens,batch_s,tok_per_s,temp_c,battery_pct,plugged,current_ma
6.6,32,9072,6.609,1372.6,36.4,67,PLUGGED_AC,3806.25
20.4,32,8731,13.41,651.1,36.4,67,PLUGGED_AC,4613.281
38.1,32,9069,16.624,545.5,37.0,68,PLUGGED_AC,3057.031
58.3,32,9642,19.155,503.4,37.0,68,PLUGGED_AC,3043.75
67.6,32,8718,8.326,1047.1,37.0,68,PLUGGED_AC,2755.468
82.4,32,8919,14.071,633.9,37.0,68,PLUGGED_AC,2635.937
99.8,32,8518,16.383,519.9,37.0,68,PLUGGED_AC,2563.281
118.2,32,8912,17.471,510.1,37.3,69,PLUGGED_AC,2716.406
137.0,32,9018,17.774,507.4,37.3,69,PLUGGED_AC,2928.125
154.3,32,8842,16.302,542.4,37.3,69,PLUGGED_AC,1471.093
166.1,32,8586,11.475,748.2,37.3,69,PLUGGED_AC,2714.062
185.2,32,8972,18.058,496.8,37.5,70,PLUGGED_AC,3071.875
203.8,32,8918,17.647,505.4,37.5,70,PLUGGED_AC,2992.187
222.7,32,8943,17.801,502.4,37.5,70,PLUGGED_AC,2755.468
240.7,32,8570,17.057,502.4,37.7,71,PLUGGED_AC,2936.718
259.5,32,8855,17.837,496.5,37.7,71,PLUGGED_AC,3018.75
278.0,32,8780,17.388,504.9,37.7,71,PLUGGED_AC,2985.156
296.0,32,8964,16.955,528.7,37.6,72,PLUGGED_AC,2814.062
315.4,32,9209,18.449,499.1,37.6,72,PLUGGED_AC,2246.875
333.8,32,8811,17.524,502.8,37.6,72,PLUGGED_AC,3035.156
351.9,32,8639,17.0,508.2,37.7,73,PLUGGED_AC,2852.343
368.4,32,8634,15.557,555.0,37.7,73,PLUGGED_AC,2736.718
385.7,32,8625,16.526,521.9,37.7,73,PLUGGED_AC,2883.593
405.0,32,8991,18.299,491.3,37.7,73,PLUGGED_AC,2798.437
424.0,32,8997,17.9,502.6,38.0,74,PLUGGED_AC,2732.812
441.8,32,8342,16.89,493.9,38.0,74,PLUGGED_AC,2585.937
458.1,32,9042,15.357,588.8,38.0,74,PLUGGED_AC,2557.031
475.0,32,8771,16.055,546.3,38.0,74,PLUGGED_AC,2701.562
493.5,32,8945,17.438,513.0,38.2,75,PLUGGED_AC,2882.812
511.8,32,8706,17.251,504.7,38.2,75,PLUGGED_AC,3004.687
525.2,32,9083,12.4,732.5,38.2,75,PLUGGED_AC,2733.593
536.8,32,8543,10.942,780.7,38.2,75,PLUGGED_AC,2862.5
548.2,32,8406,10.666,788.1,38.0,76,PLUGGED_AC,2891.406
559.7,32,8324,10.655,781.2,38.0,76,PLUGGED_AC,2868.75
572.1,32,8974,11.688,767.8,38.0,76,PLUGGED_AC,2921.875
584.6,32,9133,11.748,777.4,38.0,76,PLUGGED_AC,2689.062
596.3,32,8485,11.006,771.0,38.0,76,PLUGGED_AC,2908.593
609.0,32,9177,11.953,767.8,38.0,76,PLUGGED_AC,2842.968
