t_s,docs,tokens,batch_s,tok_per_s,temp_c,battery_pct,plugged,current_ma
6.9,32,9072,6.923,1310.5,31.7,82,UNPLUGGED,1471.093
15.3,32,8731,7.961,1096.7,32.0,81,UNPLUGGED,792.968
25.9,32,9069,9.818,923.7,32.0,81,UNPLUGGED,1141.406
35.4,32,9642,9.043,1066.3,32.0,81,UNPLUGGED,384.375
45.8,32,8718,9.685,900.2,32.0,81,UNPLUGGED,815.625
54.6,32,8919,8.31,1073.2,32.0,81,UNPLUGGED,547.656
65.2,32,8518,9.844,865.3,32.0,81,UNPLUGGED,878.125
74.7,32,8912,8.974,993.1,32.0,81,UNPLUGGED,404.687
85.9,32,9018,10.429,864.7,33.9,81,UNPLUGGED,835.937
95.4,32,8842,8.942,988.9,33.9,81,UNPLUGGED,392.187
105.9,32,8586,9.792,876.8,33.9,81,UNPLUGGED,919.531
115.5,32,8972,9.04,992.5,33.9,81,UNPLUGGED,348.437
126.3,32,8918,9.99,892.7,33.9,81,UNPLUGGED,819.531
136.1,32,8943,9.307,960.9,34.8,80,UNPLUGGED,448.437
147.1,32,8570,10.272,834.3,34.8,80,UNPLUGGED,448.437
158.4,32,8855,10.641,832.2,34.8,80,UNPLUGGED,442.968
169.0,32,8780,9.8,895.9,34.8,80,UNPLUGGED,598.437
180.4,32,8964,10.86,825.4,34.8,80,UNPLUGGED,435.937
191.6,32,9209,10.492,877.7,34.8,80,UNPLUGGED,386.718
203.5,32,8811,11.22,785.3,34.8,80,UNPLUGGED,496.875
213.6,32,8639,9.507,908.7,34.8,80,UNPLUGGED,382.031
225.4,32,8634,11.074,779.7,34.8,80,UNPLUGGED,376.562
237.4,32,8625,11.194,770.5,34.8,80,UNPLUGGED,489.062
249.7,32,8991,11.589,775.8,34.8,80,UNPLUGGED,428.125
262.1,32,8997,11.665,771.3,34.8,80,UNPLUGGED,335.937
272.0,32,8342,9.126,914.1,34.8,80,UNPLUGGED,402.343
284.1,32,9042,11.515,785.3,34.8,80,UNPLUGGED,392.187
296.2,32,8771,11.342,773.3,34.8,80,UNPLUGGED,446.093
308.5,32,8945,11.54,775.1,34.8,80,UNPLUGGED,323.437
320.4,32,8706,11.193,777.8,36.0,79,UNPLUGGED,349.218
333.0,32,9083,11.763,772.1,36.0,79,UNPLUGGED,343.75
344.6,32,8543,10.883,785.0,36.0,79,UNPLUGGED,358.593
356.1,32,8406,10.741,782.6,36.0,79,UNPLUGGED,417.968
367.5,32,8324,10.644,782.1,36.0,79,UNPLUGGED,341.406
379.8,32,8974,11.607,773.2,36.0,79,UNPLUGGED,471.093
392.4,32,9133,11.877,769.0,36.0,79,UNPLUGGED,438.281
404.1,32,8485,10.913,777.5,36.0,79,UNPLUGGED,509.375
416.7,32,9177,11.904,770.9,36.0,79,UNPLUGGED,394.531
428.9,32,8843,11.396,776.0,36.0,79,UNPLUGGED,371.875
441.8,32,9373,12.148,771.6,36.0,79,UNPLUGGED,364.062
454.4,32,9163,11.871,771.9,36.0,79,UNPLUGGED,315.625
466.5,32,8845,11.351,779.2,36.0,79,UNPLUGGED,382.031
478.4,32,8622,11.16,772.6,36.0,79,UNPLUGGED,825.0
490.3,32,8705,11.209,776.6,36.0,79,UNPLUGGED,351.562
502.3,32,8808,11.295,779.8,36.7,78,UNPLUGGED,430.468
514.2,32,8666,11.104,780.5,36.7,78,UNPLUGGED,410.156
526.3,32,8806,11.404,772.2,36.7,78,UNPLUGGED,371.875
539.7,32,9401,12.601,746.1,36.7,78,UNPLUGGED,565.625
554.1,32,8912,13.605,655.0,36.7,78,UNPLUGGED,376.562
565.9,32,8708,11.044,788.5,36.7,78,UNPLUGGED,387.5
577.7,32,8627,11.048,780.9,36.7,78,UNPLUGGED,422.656
589.8,32,8818,11.389,774.3,36.7,78,UNPLUGGED,317.968
601.7,32,8631,11.106,777.2,36.7,78,UNPLUGGED,407.031
